method,split,observation_seed,condition,geometry_skew_bin,bank_seed,true_alpha,true_t,true_rotation_shift,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,consensus_geometry_rho12,consensus_geometry_rho13,consensus_geometry_rho23,anchored_alpha_log_std,anchored_alpha_effective_count
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0.881734382249758,0.17784105610841,54,53.0,16.0,13.0,0.766323898666092,0.9354441707471594,0.2655706108695811,0.2838978735176298,0.0,0.26368636168727083,0.257362582715233,0.14489722266619914,0.21410113843508757,0.06778767914066408,28.934278276826984
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260324,0.881734382249758,0.17784105610841,54,227.0,16.0,9.0,0.7797223120978536,0.7696520238246537,0.24591368767294552,0.3195128188592549,0.0,0.34938391933731366,0.2471518323380708,0.16726026616751424,0.19712186069934814,0.04857520789811209,137.8537581990408
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260325,0.881734382249758,0.17784105610841,54,62.0,16.0,16.0,0.7901970111812308,0.8991679226572561,0.26172997071436466,0.2910801910514001,0.0,0.40136207161721327,0.2589972336957427,0.15535740047764676,0.21838023546635854,0.06768463442319685,34.381500301819216
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260325,0.881734382249758,0.17784105610841,54,228.0,16.0,11.0,0.7350324862186336,0.8188171175170482,0.2550964087259634,0.31154259390608324,0.0,0.12420038343438654,0.25508641694156414,0.16010704533192502,0.20375398607800901,0.054055899982428934,115.93122390937994
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,20260326,0.881734382249758,0.17784105610841,54,46.0,16.0,17.0,0.7634551186107685,0.8622938849466499,0.24933176452260164,0.2891494058757332,0.0,0.5110630243711622,0.2595687917528876,0.15302037390178191,0.21738973723237515,0.07023698995201692,27.232280233328837
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,20260326,0.881734382249758,0.17784105610841,54,246.0,16.0,13.0,0.7653953934346683,0.8406211180112587,0.20665355771163396,0.24583436376251755,0.0,0.42028388740711164,0.24429944379056234,0.1558153720354924,0.20280286396993694,0.0427876983611649,135.6020577993019
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,20260324,1.193340098604452,-0.28236615286284156,37,69.0,16.0,17.0,0.8272657860258833,0.8864652888514515,0.3205299127815365,0.3615820233602502,0.0,0.4989756694898854,0.2767668151729782,0.16422534323506996,0.2325315795220234,0.08459873313502664,42.589558416499486
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,20260324,1.193340098604452,-0.28236615286284156,37,251.0,16.0,16.0,0.681212110448742,0.9029098403794569,0.32453040185618276,0.3594272510307293,0.0,0.3243639028365846,0.24427636692561816,0.1451503550472474,0.19677646294682136,0.06705745618930183,135.2399594539922
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,20260325,1.193340098604452,-0.28236615286284156,37,60.0,16.0,19.0,0.8510262539551329,0.8961426252586103,0.3227782540444703,0.3601862526641029,0.0,0.37839389726519174,0.25778266443908127,0.14931577825186731,0.2142871731564771,0.08146208916693856,31.696443542620226
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,20260325,1.193340098604452,-0.28236615286284156,37,234.0,16.0,14.0,0.7409090919826659,0.761505019786986,0.3075321007796198,0.40384776565969976,0.0,0.1462266612250588,0.24930375104097488,0.14596240625249207,0.20261259905038842,0.059914762813406186,153.15854049279065
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,20260326,1.193340098604452,-0.28236615286284156,37,75.0,16.0,20.0,0.8363627170994725,0.9689665595967586,0.30482127798951,0.31458389866040704,0.0,0.4753495435133916,0.26896051441015173,0.16264585776973126,0.2282747209781593,0.06875575667202144,36.653537574314804
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,20260326,1.193340098604452,-0.28236615286284156,37,248.0,16.0,13.0,0.6821298622925732,0.8987143666370813,0.29685405299952966,0.3303096779350866,0.0,0.16565774059341648,0.2468955387576907,0.157487615960442,0.20322412122298392,0.055696045181810025,158.295633086709
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,20260324,0.8058417417559449,-0.5118742378742865,56,98.0,16.0,21.0,0.8450153862623724,0.9330153983638177,0.49781531088485653,0.5335553001138569,0.0,0.6166327230165114,0.2779154134610256,0.17460118654689527,0.2405327548674696,0.13852039450300913,49.91031973122527
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,20260324,0.8058417417559449,-0.5118742378742865,56,215.0,16.0,17.0,0.8098148053269678,0.8800483127959936,0.5013774886131499,0.5697158682348109,0.0,0.39312074240568345,0.28325174335603165,0.17309922772531575,0.2286658404123964,0.12454330393212647,121.8761997203884
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,20260325,0.8058417417559449,-0.5118742378742865,56,110.0,16.0,17.0,0.9118254159479952,0.9302118125791742,0.6045450279742102,0.6499003988113243,0.0,0.772369952609861,0.2989251259361919,0.18011943951022566,0.2581612964778807,0.13659210478457134,57.676552544825995
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,20260325,0.8058417417559449,-0.5118742378742865,56,230.0,16.0,16.0,0.7101414136113737,0.9147234653515262,0.4969094128813478,0.5432345749328588,0.0,0.2589586807644241,0.26906799614125365,0.1633986617672823,0.21224579284952175,0.11431605110047513,132.67838255664583
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,20260326,0.8058417417559449,-0.5118742378742865,56,109.0,16.0,19.0,0.8268360877646272,0.8153035557238554,0.5056377488823796,0.6201834216624462,0.0,0.6430653535931088,0.27144260604981374,0.16864448877475446,0.22544871610288672,0.15618790252429385,60.85297186453043
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,20260326,0.8058417417559449,-0.5118742378742865,56,223.0,16.0,15.0,0.8219353948650907,0.7754096242449035,0.47475874571257637,0.612268317116773,0.0,0.13879867211754818,0.2900374827567506,0.18563707869322252,0.2348103854173391,0.12495232092588898,128.1926576963741
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,20260324,1.284002752037176,0.09283757178881881,29,96.0,16.0,20.0,0.8177015770502062,0.9088353854484996,0.6437591081141807,0.7083341146499188,0.0,0.5059243632605566,0.27093695999462963,0.15530742984450102,0.23794637514889516,0.20762367446459007,54.83921829831166
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,20260324,1.284002752037176,0.09283757178881881,29,214.0,16.0,15.0,0.7805157843699895,0.8486388965736286,0.6282614492814314,0.7403165843776793,0.0,0.1864075015512546,0.2613253707502724,0.1603814779833177,0.21042449128843782,0.1699340558604734,111.97970894117464
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,20260325,1.284002752037176,0.09283757178881881,29,94.0,16.0,18.0,0.8461886169015295,0.9304312778169548,0.6643084555016141,0.713979066847648,0.0,0.4256363753492667,0.2799233204553442,0.17127674420458097,0.23438949187913855,0.21667826542410867,51.239348279703805
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,20260325,1.284002752037176,0.09283757178881881,29,187.0,16.0,19.0,0.7419549687310197,0.8866854380471193,0.6275870787004202,0.7077899915472274,0.0,0.2797536804593168,0.28344590522698165,0.16891414915517142,0.22781117452400065,0.18805860278797565,101.92009291677466
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,20260326,1.284002752037176,0.09283757178881881,29,89.0,16.0,20.0,0.8634100564538975,0.8950224942564224,0.6457677801525443,0.7215101120883481,0.0,0.6510191374212003,0.2855574578459433,0.16305255559894727,0.23818428899506644,0.19933308996361335,46.68110652417758
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,20260326,1.284002752037176,0.09283757178881881,29,165.0,16.0,17.0,0.8171854422939324,0.8831062396944951,0.6412486621970344,0.7261285600460373,0.0,0.38547712109602533,0.26411409453475715,0.16358276146130926,0.2154381735397399,0.21010511440788915,88.57125865641565
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,20260324,1.2481451346845953,-0.2693313050528414,37,108.0,16.0,21.0,0.8480697572805723,0.921166503354567,0.4674402509452043,0.507443821766152,0.0,0.27545211463362235,0.27292636699234984,0.16207797136527372,0.23644165619427196,0.12455403480821671,55.28880923442657
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,20260324,1.2481451346845953,-0.2693313050528414,37,257.0,16.0,20.0,0.7467368053537242,0.8800775709280594,0.41875110994594145,0.47581159181725313,0.0,0.47432328407389257,0.2777749954388121,0.1785979246251481,0.22563654726697596,0.09796696424327722,128.57460980684857
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,20260325,1.2481451346845953,-0.2693313050528414,37,111.0,16.0,23.0,0.8401798744475721,0.9457902266426294,0.4441917134334019,0.46965140992225707,0.0,0.2064966790812835,0.2811956156933735,0.17112340310236213,0.23791590198786283,0.1192315736844401,56.41935819710476
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,20260325,1.2481451346845953,-0.2693313050528414,37,258.0,16.0,19.0,0.7759280439359532,0.9224813049965657,0.4303886902868176,0.4665554607509579,0.0,0.5389467255837068,0.2772160896000975,0.1693214037991354,0.21864064907365413,0.09298371391898635,147.32897743319455
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,20260326,1.2481451346845953,-0.2693313050528414,37,107.0,16.0,20.0,0.8147507839265986,0.8956344358246989,0.4819263261632706,0.5380837391759211,0.0,0.3449857686880559,0.2874943099204929,0.168384086945072,0.23784115918568943,0.12060310867130791,56.16026758744329
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,20260326,1.2481451346845953,-0.2693313050528414,37,260.0,16.0,16.0,0.7462215641014033,0.8687729064210371,0.43030572271916684,0.495302880118393,0.0,0.3399184864778185,0.2582889976801951,0.1648373570134988,0.21093213881303227,0.09672838062808957,160.09642787487581
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,20260324,1.1892117130269413,-0.6618817448914281,0,60.0,16.0,16.0,0.809303906476687,0.865732157282296,0.3087937547938768,0.35668509272341375,0.0,0.40128540946246144,0.27703269380055506,0.1695581546347131,0.2362773611029706,0.06643754437822595,31.04486153380598
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,20260324,1.1892117130269413,-0.6618817448914281,0,207.0,16.0,8.0,0.7323753795920267,0.8207704579986596,0.2795851775728797,0.34063747646889153,0.0,0.4508987530138607,0.2827930920894807,0.16786447681724753,0.22176415569574506,0.05162712452217185,126.24117100841367
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,20260325,1.1892117130269413,-0.6618817448914281,0,55.0,16.0,15.0,0.7601042683962181,0.8683537050217746,0.2838790812151921,0.32691641617176453,0.0,0.47115833488664677,0.26402028554318735,0.16219022549039036,0.22066940640661808,0.07453174455208453,28.342282314149056
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,20260325,1.1892117130269413,-0.6618817448914281,0,241.0,16.0,15.0,0.7228699116100451,0.9269092441264454,0.3013251837273665,0.32508596244646026,0.0,0.3029563614943956,0.263450085015211,0.1665716188925676,0.21586084289798135,0.07629524151082512,129.99324370972204
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,20260326,1.1892117130269413,-0.6618817448914281,0,62.0,16.0,19.0,0.8505963392270552,0.8684860631518635,0.29176077418676105,0.3359418032891839,0.0,0.28999106791768,0.27905221772208255,0.15969890489845245,0.2322672080480343,0.07144165974682888,35.75163281916046
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,20260326,1.1892117130269413,-0.6618817448914281,0,236.0,16.0,13.0,0.7800381501015029,0.8270379820828202,0.2908542361643004,0.3516818362220927,0.0,0.5549561172009008,0.2643219623446279,0.17129801025765154,0.2124925199632286,0.06776096916195584,127.82713186576548
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,20260324,0.7901446823273661,-0.11149395428809702,51,112.0,16.0,18.0,0.8513791073837675,0.8934136268304561,0.5977627710648846,0.6690772931072861,0.0,0.4852377716807023,0.284684747032128,0.16628183612774852,0.2389823487720961,0.1766435111366332,60.87578712260885
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,20260324,0.7901446823273661,-0.11149395428809702,51,208.0,16.0,19.0,0.721266688467815,0.8733042464822125,0.5280710201620606,0.6046816127245482,0.0,0.5796450521979158,0.2761703351697547,0.17250909520140623,0.22117210297315512,0.1131338001851396,101.21458220648887
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,20260325,0.7901446823273661,-0.11149395428809702,51,94.0,16.0,20.0,0.8768820154563012,0.9683965797029476,0.559930633689293,0.5782038530754103,0.0,0.16787582675812443,0.28807483478274765,0.17524764328624054,0.24500878064195392,0.17833297438763565,43.58433651644804
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,20260325,0.7901446823273661,-0.11149395428809702,51,219.0,16.0,18.0,0.7374071398398624,0.8849386487069751,0.6053314761620776,0.684037788434888,0.0,0.4515034371830278,0.264260625550044,0.15883814987053618,0.20963213778259793,0.13970573137256892,121.45383542170515
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,20260326,0.7901446823273661,-0.11149395428809702,51,107.0,16.0,24.0,0.8224058864899257,0.9745509724181551,0.551059505310036,0.5654496490241973,0.0,0.3757726083711018,0.26164199586526743,0.15320285920912446,0.22237022350498298,0.17027498364392302,49.154395500060204
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,20260326,0.7901446823273661,-0.11149395428809702,51,209.0,16.0,16.0,0.7351760207058753,0.8081817111429496,0.5697345574658599,0.7049584884321719,0.0,0.3371483434428342,0.26482712306738343,0.16236698132322644,0.20561016084528902,0.13492015335886137,124.43021695058438
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,20260324,0.8649653549713395,-0.2613324334384325,2,94.0,16.0,21.0,0.8354160274470331,0.8945953577345674,0.41134019550105105,0.4598058685914828,0.0,0.47530518872733185,0.279859142618625,0.17184218454747865,0.244072629189204,0.11441941500235626,47.45304293852465
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,20260324,0.8649653549713395,-0.2613324334384325,2,209.0,16.0,12.0,0.7419967040540192,0.8720780007413564,0.42740267373616836,0.49009684153577077,0.0,0.46051743138095963,0.24504277507757347,0.14627173171887922,0.19137879540731303,0.09564623127406309,101.60841420247922
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,20260325,0.8649653549713395,-0.2613324334384325,2,90.0,16.0,19.0,0.7242205549042012,0.9083366146915949,0.4150619352569455,0.45694726882486225,0.0,0.32769630899823304,0.2527724584363761,0.15389388712832405,0.21422834713385547,0.1194847737257705,53.012751441900015
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,20260325,0.8649653549713395,-0.2613324334384325,2,226.0,16.0,14.0,0.7523000582559594,0.9024732524432643,0.4170238913917387,0.46209002899834495,0.0,0.5150466079988256,0.28902265380413705,0.18768686320303946,0.23328636786363693,0.10615881287269607,129.38538502143808
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,20260326,0.8649653549713395,-0.2613324334384325,2,83.0,16.0,20.0,0.8276196468328576,0.8956640693226147,0.3951070592102137,0.4411330907904241,0.0,0.518926857613822,0.2715655951753598,0.15650344171536307,0.22581695144033398,0.10601202410208864,47.48235639564321
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,20260326,0.8649653549713395,-0.2613324334384325,2,233.0,16.0,21.0,0.7441135073131062,0.921247379013271,0.4198419557490811,0.4557320490819362,0.0,0.7505472549527616,0.2953481743520153,0.184934109267491,0.23390292026817328,0.1050785855035891,131.812715534204
one_shot_random,holdout,20260424,sparse_partial_high_noise,high_skew,20260324,1.2822085684698488,0.4737218196896238,35,93.0,16.0,22.0,0.8327289202238363,0.9413808233408284,0.7405438114997663,0.7866569969756557,0.0,0.5486105275669337,0.27783564957789225,0.16933968900099824,0.23279255350547814,0.24450772754570377,45.54720304718004
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,high_skew,20260324,1.2822085684698488,0.4737218196896238,35,117.0,16.0,13.0,0.7237884459739373,0.8522045251288747,0.743928646406075,0.872946134959298,0.0,0.3728179465793615,0.25372387598926194,0.1518277278401702,0.21133512657055065,0.23689256420997906,62.31016571661564
one_shot_random,holdout,20260424,sparse_partial_high_noise,high_skew,20260325,1.2822085684698488,0.4737218196896238,35,89.0,16.0,20.0,0.7926206279833962,0.9539965281298217,0.7554453299412573,0.7918742968826139,0.0,0.37451737852912137,0.2565349407640786,0.15600200246602988,0.21535207405294576,0.24993152282276723,46.98895435394692
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,high_skew,20260325,1.2822085684698488,0.4737218196896238,35,154.0,16.0,13.0,0.7822553052814069,0.9455671256728616,0.7549592248644874,0.7984194927750492,0.0,0.3445790104535411,0.24439190754763693,0.1530000876556583,0.19679824680369623,0.2677428546545989,76.95528640172823
one_shot_random,holdout,20260424,sparse_partial_high_noise,high_skew,20260326,1.2822085684698488,0.4737218196896238,35,74.0,16.0,19.0,0.8274654825962791,0.9080703080106952,0.7552621711892481,0.8317221304634406,0.0,0.4118459863018046,0.26921151485541434,0.16540383790183555,0.21977445850626734,0.27963890812828684,38.8636143355633
