method,split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_band_candidate_count,mean_frontier_candidate_count,mean_cluster_count,mean_cluster_entropy,mean_geometry_span_norm_set,consensus_geometry_bank_span_norm,compression_load,mean_alpha_log_span_set,mean_ambiguity_ratio,mean_poison_pull,mean_supportive_pull,mean_anchored_alpha_log_std,mode_persistence_rate
one_shot_random,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,53.666666666666664,16.0,15.333333333333334,0.7733253428193638,0.8989686594503551,0.017120505268647893,52.50830190722239,0.2588774487021825,0.28804249014825434,0.0,0.3920371525585488,0.06856976783862595,0.9208819873819083
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,low_skew,0.881734382249758,0.17784105610841,54,233.66666666666666,16.0,11.0,0.7600500639170518,0.8096967531176534,0.029152176978007326,27.774829774410886,0.2358878847035143,0.2922965921759519,0.0,0.2979560633929373,0.048472935413901984,0.7342973296148152
one_shot_random,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,68.0,16.0,18.666666666666668,0.8382182523601629,0.9171914912356068,0.051473891005454776,17.818577016810533,0.31604314827183894,0.34545072489492007,0.0,0.4509063700894896,0.07827219299132888,0.7773653910012075
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,mid_skew,1.193340098604452,-0.28236615286284156,37,244.33333333333334,16.0,14.333333333333334,0.7014170215746603,0.854376408934508,0.02393834718823805,35.69070171036287,0.3096388518784441,0.36452823154183855,0.0,0.21208276821835334,0.06088942139483935,0.8198732916984511
one_shot_random,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,105.66666666666667,16.0,19.0,0.8612256299916649,0.8928435888889491,0.06927490925201372,12.888412248089598,0.5359993625804821,0.6012130401958758,0.0,0.6773560097398269,0.1437668006039581,0.9197646629340853
persistent_mode_informed,holdout,20260422,sparse_partial_high_noise,high_skew,0.8058417417559449,-0.5118742378742865,56,222.66666666666666,16.0,16.0,0.7806305379344775,0.8567271341308077,0.06507779376226218,13.164661624217713,0.49101521573569135,0.5750729200948143,0.0,0.2636260317625519,0.1212705586528302,0.6335796249413007
one_shot_random,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,93.0,16.0,19.333333333333332,0.8424334168018777,0.911429719173959,0.03547670196229583,25.690937115366992,0.6512784479227797,0.7146077645286383,0.0,0.5275266253436746,0.20787834328410404,0.8874828325442811
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,low_skew,1.284002752037176,0.09283757178881881,29,188.66666666666666,16.0,17.0,0.7798853984649806,0.8728101914384143,0.04722899347085326,18.480389423862217,0.6323657300596286,0.724745045323648,0.0,0.2838794343688656,0.18936592435211272,0.8813928313795945
one_shot_random,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,108.66666666666667,16.0,21.333333333333332,0.8343334718849142,0.9208637219406318,0.02605625474739655,35.341369312972404,0.46451943018062564,0.5050596569547767,0.0,0.2756448541343206,0.12146290572132157,0.9751247197182903
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,258.3333333333333,16.0,18.333333333333332,0.7562954711303602,0.8904439274485542,0.04769671687640014,18.668872529654905,0.4264818409839753,0.47922331089553466,0.0,0.4510628320451393,0.09589301959678438,0.8609517252193171
one_shot_random,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,59.0,16.0,16.666666666666668,0.8066681713666535,0.8675239751519781,0.039703840018018556,21.84987584974841,0.29481120339861,0.3398477707281207,0.0,0.3874782707555961,0.07080364955904644,0.8687997035417081
persistent_mode_informed,holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,228.0,16.0,12.0,0.745094480434525,0.8582392280693084,0.03323446958907566,25.8237678735639,0.29058819915484885,0.3391350917124815,0.0,0.43627041056971905,0.0652277783983176,0.6367933094064071
one_shot_random,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,104.33333333333333,16.0,20.666666666666668,0.8502223364433315,0.9454537263171862,0.07062818747304753,13.38635125923317,0.5695843033547379,0.6042435984022979,0.0,0.3429620689366429,0.17508382305606396,0.8157198247737446
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,212.0,16.0,17.666666666666668,0.7312832830045176,0.8554748687773791,0.04045533630631796,21.146156400726262,0.5677123512633327,0.6645592965305361,0.0,0.45609894427459263,0.1292532283055233,0.8223903426325603
one_shot_random,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,89.0,16.0,20.0,0.7957520763946974,0.899532013916259,0.07323430145548733,12.282932943151033,0.40716972998940343,0.45262874273558973,0.0,0.44064278511312893,0.11330540427673846,0.8306043689295498
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,222.66666666666666,16.0,15.666666666666666,0.7461367565410283,0.8985995440659639,0.13335571139648703,6.738365643705273,0.4214228402923294,0.46930630653868394,0.0,0.5753704314441823,0.10229454321678276,0.8812331370733482
one_shot_random,holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,85.33333333333333,16.0,20.333333333333332,0.8176050102678372,0.9344825531604485,0.0515197732074149,18.13832815991423,0.7504171042100906,0.8034178081072367,0.0,0.4449912974659533,0.2580260528322526,0.8672210552305027
persistent_mode_informed,holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,145.0,16.0,15.0,0.7280256484777077,0.8946329015392402,0.03475337526189822,25.742331350476594,0.7521012918640384,0.8420381307005128,0.0,0.3622831891371106,0.22437312727250133,0.8758235175100414
one_shot_random,confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,81.0,16.0,18.333333333333332,0.8195237691445042,0.9128881686436721,0.025433618833847284,35.89297199928122,0.36996193957050605,0.4060234358682078,0.0,0.4400285419433361,0.09817845596193953,0.7851769525095226
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,251.0,16.0,17.666666666666668,0.7478942422832774,0.8757360677782101,0.07274122766094156,12.039060872881544,0.38926925614539587,0.4453464241354503,0.0,0.3470092968172965,0.08126762084737424,0.8864273064095732
one_shot_random,confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,108.0,16.0,16.666666666666668,0.8531717975117097,0.8962717762230445,0.014737904408440236,60.81405818521659,0.47477454724355805,0.5295382278178332,0.0,0.5850457824659799,0.13736564402615295,0.9169169371998559
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,221.33333333333334,16.0,17.0,0.7419755886468241,0.8821397515731784,0.07594540682760813,11.615445731637028,0.47417639474126644,0.5380467751664715,0.0,0.3902896615734788,0.10020646789036303,0.8361172089484304
one_shot_random,confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,124.33333333333333,16.0,21.333333333333332,0.8250670386813002,0.9312355680934007,0.03192026969003796,29.17380013189648,0.873002716661937,0.9374427762930759,0.0,0.5352818778424792,0.2969117772279974,0.9096561868543073
persistent_mode_informed,confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,170.33333333333334,16.0,16.666666666666668,0.784722621333947,0.8761972873094047,0.0888822775348385,9.857952694404894,0.8553708755441112,0.976080255180232,0.0,0.2993975603435127,0.21624373846242162,0.9013340614673145
one_shot_random,confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,80.66666666666667,16.0,20.0,0.8326362878039064,0.9311533968217242,0.06046177112327423,15.400696663735092,0.4442163521745381,0.47820899381298027,0.0,0.7244545807608541,0.12160977239133004,0.8137283790730385
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,203.66666666666666,16.0,15.333333333333334,0.7868289023639233,0.8687208948970859,0.03354984923058226,25.89343662698806,0.44931883314475507,0.5172935984589273,0.0,0.3633360733149311,0.10943382993507263,0.8274372410177296
one_shot_random,confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,92.66666666666667,16.0,18.666666666666668,0.8503150255555902,0.9032363586136758,0.021881468773906575,41.278598248887924,0.6378453757459633,0.7063698975622508,0.0,0.3120047841883828,0.21844411780653827,0.7911893079442537
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,187.0,16.0,15.333333333333334,0.7350814041314857,0.8731254624248633,0.04098918214895427,21.301363351235803,0.6324571703003092,0.7260504321755518,0.0,0.1798928945171571,0.1904882978369029,0.8035374777096611
one_shot_random,confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,102.0,16.0,20.333333333333332,0.8380806224933819,0.9229004760501917,0.017151331311956574,53.809261757238474,0.5248091106651517,0.5685469128277206,0.0,0.580750351392311,0.15075756147543148,0.854470644365471
persistent_mode_informed,confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,227.33333333333334,16.0,15.666666666666666,0.7605641280178106,0.8533500936893402,0.08175688287780378,10.43765446592163,0.503793813400812,0.5903707769257444,0.0,0.2912774254137886,0.12304561474521036,0.9329782700199404
one_shot_random,confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,85.33333333333333,16.0,18.0,0.8411003052522505,0.9166671520855108,0.0937756450681098,9.775108999993869,0.6277363289326136,0.6851351103875372,0.0,0.5052540826167807,0.21615844703671572,0.7970734344073754
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,160.66666666666666,16.0,15.666666666666666,0.7764092185399959,0.898623959127253,0.13783176293835062,6.519716065223584,0.6185024759119226,0.6882581613898527,0.0,0.36915504692214496,0.19580777627167537,0.9634353392385862
one_shot_random,confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,93.66666666666667,16.0,18.666666666666668,0.817267172095387,0.9168862632167887,0.05917714524910155,15.493925219900822,0.46719337169536895,0.5096033267794133,0.0,0.32896401290569577,0.1305186342179336,0.9404297001306312
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,215.66666666666666,16.0,15.333333333333334,0.7526356687707337,0.8957007213372651,0.085384727578592,10.490174844357513,0.4378885236859135,0.4888925241749522,0.0,0.4486443626089949,0.0966856067026418,0.8921614702377196
one_shot_random,confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,93.0,16.0,19.0,0.8430753327271286,0.9396560360806198,0.038735931599318395,24.25799502643572,0.5670591495353219,0.6042894072701535,0.0,0.5297551428066075,0.1713265447508693,0.9234620205268981
persistent_mode_informed,confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,186.33333333333334,16.0,17.333333333333332,0.7814112254281081,0.8733045864679331,0.023587458759510484,37.02410655475194,0.5735176349392729,0.6572193171589789,0.0,0.40752528462814697,0.13956096250653646,0.9495145001150784
