condition,geometry_skew_bin,trial_in_cell,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,marginalized_geometry_mae,marginalized_weight_mae,marginalized_alpha_error,marginalized_fit_rmse,conditioned_geometry_mae,conditioned_weight_mae,conditioned_alpha_error,conditioned_fit_rmse,conditioned_seed_rank,family_geometry_mae,family_weight_mae,family_alpha_error,family_fit_rmse,family_winner_seed_rank,family_switched_seed,family_score_improvement_over_seed,family_delta_rho,family_delta_t,family_delta_h,family_delta_alpha,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
sparse_full_noisy,low_skew,0,0.19797216095887704,-0.02429252745133885,0.7943702062496282,0.2121890011892885,0.6154926324151425,0.17231836639556897,0.8281148971377308,18,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,0.0521110514087731,0.11475645012778087,0.035986664974327454,0.027761200331500507,1,0.11142854990098522,0.034648877242275805,0.02146066672266289,0.012287132021904979,2,1,0.00010903004176053294,0.036000000000000004,0.21000000000000008,0.20999999999999996,0.0,0.16179376782146473,0.034648877242275805,0.02146066672266289,0.02153964965893668
sparse_full_noisy,low_skew,1,0.12324466927856427,0.017798300301169356,1.4216990824072344,0.46619321409883385,0.27336221717963305,0.2604445687215331,0.8594985190077352,4,0.12270416406933321,0.11148632363128713,0.03396212585724201,0.019672784111410654,0.12270416406933321,0.11148632363128713,0.03396212585724212,0.01967278411141071,1,0.12251132114471763,0.11148632363128713,0.03396212585724201,0.01912610414348389,1,0,7.663512243761064e-07,0.004302698451601028,0.07,0.20999999999999996,0.0,0.0716190610552824,0.12236019211740023,0.021953690323584296,0.014211326248369143
sparse_full_noisy,low_skew,2,0.09599715418860714,0.04671199788075486,1.0577866830180556,0.25379612134827606,0.23313033674444883,0.5130735419072752,1.1628828694876643,36,0.08902984208653325,0.3180805791895396,0.3258051202593627,0.016688718879222127,0.08902984208653325,0.3180805791895396,0.3258051202593626,0.016688718879222093,1,0.01839517249629331,0.3180805791895396,0.3258051202593627,0.016028591723757007,1,0,2.5500622011394997e-05,0.03599999999999999,0.21000000000000002,0.2100000000000002,0.0,0.10676880118470812,0.18444474211411901,0.05741653513361933,0.016279557699452222
sparse_full_noisy,low_skew,3,0.16619212528662025,0.04856223973500107,1.4284033439813442,0.5549812423905628,0.14475401497981855,0.30026474262961866,1.2603639110539575,51,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089,0.05638873803467193,0.1372372483223067,0.03356595187540368,0.029287153304168076,1,0.07054517204481577,0.07730931659855263,0.03612333418338021,0.011771242761629714,3,1,0.0002313806078288569,0.0031975579915176355,0.21000000000000002,0.20999999999999996,0.0,0.05638873803467193,0.1372372483223067,0.06523261854207019,0.03395647985946089
sparse_full_noisy,mid_skew,0,0.11820640083552096,0.4053114757844846,1.4257613226585917,0.10367482562396527,0.27748049310071143,0.6188446812753233,1.2293728232604186,19,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,0.03959170687137766,0.2928646194766357,0.422677545425689,0.007146820690555044,1,0.08466949316711218,0.0407726877661562,0.006814174259977879,0.003906077598214192,3,1,6.635771250809112e-05,0.0,0.21000000000000002,0.0,0.0,0.08765741928658861,0.0407726877661562,0.006814174259977879,0.005884812611090933
sparse_full_noisy,mid_skew,1,0.07786659705579345,0.29276956122274206,1.0404241299685968,0.5144430798698102,0.2317769876463827,0.25377993248380715,1.2600326448670152,18,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073,0.10951800201560612,0.19776137357610465,0.47320546883719294,0.004978560597098714,2,0.0605934204974396,0.19776137357610465,0.4498721355038596,0.011687807259898554,2,1,3.7372516617040956e-05,0.023999999999999994,0.21000000000000002,0.14000000000000012,0.0,0.04120412149765027,0.051451383120399014,0.008991556011394009,0.005659514133820073
sparse_full_noisy,mid_skew,2,0.1262724069011724,0.29499331345660407,0.6769451759998923,0.04439034311501399,0.8310928954888652,0.12451676139612078,1.1359221827561117,12,0.0717799985481185,0.27557929884889193,0.003156990974174434,0.012346833595888543,0.07392935387540155,0.23851279899231223,0.0003667089918395483,0.006907930656954803,2,0.07584135872607185,0.26439722750837175,0.001279968657524222,0.005846695660001804,3,1,4.07423583189577e-05,0.031158330716555105,0.21000000000000002,0.2098856923064052,0.0,0.0655845934337011,0.06298166038261048,0.024099745670377093,0.010310667925403898
sparse_full_noisy,mid_skew,3,0.12944819575750105,-0.26409282047069704,1.1766575222317557,0.5209155468044023,0.1780585616333136,0.3010258915622841,0.8159978208068581,48,0.08736156113965432,0.18233219119718735,0.020866348795320344,0.018467831853101954,0.08736156113965432,0.18233219119718735,0.002466984538012862,0.015127665350672082,1,0.02264578118724588,0.05641517983537974,0.37737457208377334,0.01899094494209008,2,1,6.942231577750568e-05,0.03599999999999999,0.20999999999999996,0.20999999999999996,0.0,0.05588860562412776,0.07804062682837572,0.009302542972128514,0.010922972136673391
sparse_full_noisy,high_skew,0,0.14292325302174316,0.5642529042637765,1.2221747948219306,0.07756490448320984,0.4766243860495537,0.44581070946723644,1.2829845787767118,42,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,0.061226827311635985,0.12167770824509065,0.5089866283886242,0.01161287562860486,1,0.06210925158560345,0.07680872866741234,0.016288553158195773,0.004325510979749722,2,1,0.00010750632773445855,0.023999999999999994,0.0,0.20999999999999996,0.0,0.08763361101970413,0.1492389751392517,0.038827956264590346,0.026598040398729584
sparse_full_noisy,high_skew,1,0.16753549189243908,-0.6517225495163158,1.3312519659273878,0.1240748900343948,0.3302670716876591,0.5456580382779461,1.2258326128740453,16,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305,0.05669745127470982,0.05444398273895745,0.012342765892281005,0.02035275361480749,1,0.08738928860642846,0.13182328030781623,0.02942471476735542,0.016409526545940863,2,1,8.243463478128476e-05,0.036000000000000004,0.074213292802362,0.20999999999999996,0.0,0.05669745127470982,0.05444398273895745,0.044009432558947514,0.023895784239517305
sparse_full_noisy,high_skew,2,0.18205840122110709,0.5254765400033514,1.3698832553164115,0.1088788590299234,0.6081816003993441,0.28293954057073245,1.2767886860745101,49,0.14042125698787208,0.16451353823393927,0.010092660455994107,0.011222469538129087,0.14042125698787208,0.16451353823393927,0.013240672877339321,0.012476763531455102,1,0.11938924398428048,0.16451353823393927,0.010092660455994107,0.007793386204695393,1,0,5.771038173555819e-05,0.011999999999999983,0.21000000000000002,0.0,0.0,0.06491014691703016,0.12836300544144263,0.04502384896679201,0.02357247595208993
sparse_full_noisy,high_skew,3,0.10112471352840133,-0.5656671757810996,1.1657435110963652,0.11529910672158797,0.10574066945771518,0.7789602238206969,1.1521326195850496,54,0.06010259758809405,0.3864428655995624,0.013053445854763535,0.014900210252696134,0.03472802776298437,0.3511703902945979,0.01584372783709842,0.013924701304514038,3,0.07632637448535073,0.3864428655995624,0.013053445854763535,0.014695866302950058,1,0,1.575495093520036e-05,0.013696113865725085,0.21000000000000002,0.2100000000000002,0.0,0.06010259758809405,0.3864428655995624,0.013053445854763535,0.012844790783658787
sparse_partial_high_noise,low_skew,0,0.16427254358099566,-0.15229024484509088,0.7537952756387875,0.4184991298549565,0.14820891708046713,0.43329195306457635,1.2569188878635538,20,0.08681814958467321,0.2137532696168772,0.11971673644991787,0.049164444172217804,0.08681814958467321,0.2137532696168772,0.11971673644991787,0.049164444172217804,1,0.05686014394738692,0.2137532696168772,0.11971673644991787,0.050421426981781085,1,0,1.6161592146328712e-06,0.023999999999999994,0.0,0.2100000000000002,0.0,0.017528810082632396,0.1113752018670064,0.0991780973043761,0.047525441316102826
sparse_partial_high_noise,low_skew,1,0.2067126860863058,0.18510904879854398,0.8707736154001356,0.5204904070457311,0.2811046945596305,0.19840489839463837,0.8624122499001882,54,0.05069636784038845,0.10985359798988441,0.3068266771659277,0.08083190709537237,0.05836492427344012,0.1552258779531046,0.03626637935296284,0.07568995353617634,3,0.06362356919772508,0.08877442476208874,0.3101509096045084,0.06393860823501629,2,1,3.70883646578276e-05,0.011999999999999983,0.21000000000000002,0.10758206088723876,0.0,0.057751631660185494,0.03210321908150743,0.028402121454842222,0.020992609960538432
sparse_partial_high_noise,low_skew,2,0.14075226240155184,0.16742103563674596,0.7376588679782555,0.4961017764305858,0.18856651850765263,0.31533170506176167,0.7857583886376794,22,0.13990065619462624,0.13518384285533636,0.37219704889420824,0.041953704412035255,0.13990065619462624,0.13518384285533636,0.37219704889420824,0.041953704412035255,1,0.20307596713699402,0.13518384285533636,0.37219704889420824,0.058296294843916525,1,0,0.0001530899705786807,0.02519909666867068,0.11751715444839872,0.11386760359540204,0.0,0.03618904959727066,0.0875778358280274,0.020936889197050168,0.010680118986162215
sparse_partial_high_noise,low_skew,3,0.21265872282190604,-0.13714302817188434,1.280664291363791,0.2488849186409351,0.12781824622672733,0.6232968351323376,0.8819038893280221,38,0.06832754145621305,0.07012624385838094,0.27605154820386557,0.04745157859277554,0.06832754145621305,0.07012624385838094,0.27605154820386557,0.04745157859277554,1,0.0743590979451353,0.3620132321299632,0.18766868145539484,0.0344398843198474,2,1,0.00024453593699749017,0.036000000000000004,0.06999999999999999,0.21000000000000008,0.0,0.07490695746010684,0.12803541320536152,0.032424685447463464,0.013865567256407968
sparse_partial_high_noise,mid_skew,0,0.14776923918084223,0.3745751383679515,1.4066486432807743,0.5834477432699077,0.3021557854997856,0.11439647123030672,0.8354192556733231,2,0.17261483191903035,0.11434441861566613,0.4259707279435516,0.05299200063384891,0.17261483191903035,0.11434441861566613,0.4259707279435516,0.05299200063384891,1,0.1853451116429777,0.11434441861566613,0.4259707279435516,0.05486643901309053,1,0,1.509591192822967e-05,0.005043734904773736,0.21000000000000002,0.20999999999999996,0.0,0.09225281443037743,0.04637898672627586,0.028723977838593484,0.015355289644012317
sparse_partial_high_noise,mid_skew,1,0.07689302914609833,-0.22825175701686976,1.0071812485304483,0.3471433317734761,0.1441224643564301,0.5087342038700937,1.1124755237721258,3,0.07348629169687355,0.08432594583888764,0.15155940872158957,0.03366813218240189,0.07348629169687355,0.08432594583888764,0.0815594087215894,0.030776082493939358,1,0.03287565746709873,0.08432594583888764,0.15155940872158957,0.030869194811968193,1,0,1.5787914417853682e-05,0.036000000000000004,0.07,0.1399999999999999,0.0,0.031200826418964673,0.29874682913802736,0.0017483319612172643,0.022477565978907012
sparse_partial_high_noise,mid_skew,2,0.16247468955220878,0.4106468097398704,0.9585051528317062,0.3037998389806562,0.3077649795427887,0.3884351814765551,1.2804525619213016,58,0.040192350624837225,0.1463769366335345,0.02048591605582928,0.01535482845053704,0.040192350624837225,0.1463769366335345,0.02048591605582928,0.01535482845053704,1,0.03787062380700679,0.1463769366335345,0.02048591605582928,0.025892571835698715,1,0,2.315392677987565e-05,0.036000000000000004,0.0,0.20999999999999996,0.0,0.040192350624837225,0.1463769366335345,0.02048591605582928,0.01535482845053704
sparse_partial_high_noise,mid_skew,3,0.07898262781641024,0.2182501983467554,1.1865100214772515,0.23941851789844393,0.33286006654794803,0.42772141555360804,0.881673051373355,9,0.18636138561568907,0.1212055315759864,0.2671826915348423,0.024495036945978887,0.01978952862586567,0.15228366008816988,0.2807394556902645,0.01856952686683024,2,0.16601799179418705,0.1212055315759864,0.2671826915348423,0.019533143660607478,1,0,1.3256574842688326e-05,0.023999999999999994,0.07,0.2100000000000002,0.0,0.11898510721899713,0.08595895442134345,0.004996726684149411,0.0027260208614441755
sparse_partial_high_noise,high_skew,0,0.1569712889453892,-0.5427436256373093,1.213183728388258,0.7125902040449882,0.04484254065816695,0.24256725529684486,1.2747178011675482,41,0.04592833762175197,0.021118328475666026,0.4634710157817853,0.03399668830011181,0.058317563580946453,0.37767089065982934,0.03512964447543099,0.035101091595748916,2,0.049706072854823515,0.37767089065982934,0.01179631114209756,0.035264719945261654,2,1,5.1726240675474544e-05,0.036000000000000004,0.07,0.21000000000000008,0.0,0.04336849437075146,0.13778408199947237,0.09397465726895793,0.034095456822389555
sparse_partial_high_noise,high_skew,1,0.16446605475133685,0.6573178672467476,1.1120805757642014,0.35893423543089575,0.2560591688079565,0.38500659576114776,0.8586679410763973,28,0.17161714199666125,0.03156050212284045,0.11791393441733389,0.05770079744644298,0.08487321503751373,0.07417304758074363,0.1339148406408056,0.05666715454014615,3,0.106733250393316,0.07417304758074363,0.16224817397413882,0.05059985673226761,3,1,1.9409847187224633e-05,0.01200000000000001,0.21000000000000002,0.0,0.05999999999999994,0.07984279572124904,0.08865320686246848,0.005433621035660918,0.017398217944241907
sparse_partial_high_noise,high_skew,2,0.16110011445062425,0.5867531340881837,1.408235505680726,0.21366277406438516,0.4328932589595899,0.3534439669760249,0.8676363763734991,42,0.2091481509371128,0.07670770849935898,0.13740894706275686,0.05174525605073877,0.2091481509371128,0.07670770849935898,0.13740894706275686,0.05174525605073877,1,0.19769415421123301,0.27491682766831366,0.12337513124642718,0.05075571330563082,2,1,4.712258560014479e-05,0.03599999999999999,0.21000000000000002,0.20999999999999996,0.0,0.08945087948030732,0.13277457192518313,0.08867482227529622,0.034787650503235235
sparse_partial_high_noise,high_skew,3,0.1322279741443966,-0.6319933767271373,0.9383453071706461,0.2880812674946387,0.16318070244026642,0.5487380300650949,1.2622364350597088,15,0.06057546794837169,0.13227537153616373,0.5523463969929843,0.045854091661158974,0.08467752446288025,0.110620653419572,0.15706097742860026,0.04727377401457338,3,0.11589219611412194,0.13227537153616373,0.5523463969929843,0.04671976050916642,1,0,2.1716991304558154e-06,0.036000000000000004,0.07000000000000002,0.0,0.0,0.06639823092664769,0.3835491485829885,0.1803386476477573,0.057874569331620655
